original_text,source,pornografi,sara,radikalisme,pencemaran_nama_baik
"""#SidangAhok smg sipenista agama n ateknya matinya tdk wjar n jasadnya tdk dtrma tnh n dia tdk prnh mrs kn sorga,aamiin semoga tuhan setuju""",twitter,0,1,1,1
"@BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",twitter,1,0,0,1
@ongbaotek eh memek diem lo pala lo kaya kontol! Muka lo kaya memek! Dasar gigolo! Punya penyakit kelamin ya lo? Wakkakaka,twitter,1,0,0,0
"E kaka nona yg paling bodoh dan goblok Manokwari sekarang so jadi ibu kota Propinsi Papua barat Kaka,bodoh jangan dipiara Kaka e",twitter,0,0,0,0
@zuhairimisrawi pngusiran syiah ko jadi mirip sama di usir nya nabi sama kafir quraisy ya? Masa mau si dsamain sama kafir quraisy,twitter,0,0,1,0
"@jemmydarusman mami langsung berbalik badan. Mami cium km, mami kenyot lidah km. Sampai km kewalahan. Km mulai remas tetek mami",twitter,1,0,0,0
"Ga abis abis dah yg begini -_-
Yuk jaga sanak saudara dari doktrin : jihad->bom bunuh diri->masuk surga!
(Kalo cantik ga bakal gini nih) https://twitter.com/detikcom/status/807936868419391488 …",twitter,0,0,0,0
#vcs #bokep #mendesah #desah #desahan #igohot #igoindo #igosma #memek #mesum #tante #bokep2018 #ngemut #boking #igo #booking #crot #sepong #nyepong #kontol #sange #abgsexy #videobokep2018 #cewekseksi #bispak #bisyar #kimcil #ceweknakal #ngentotpic.twitter.com/fzW0uiO2gx,twitter,1,0,0,0
Terus kalo masyarakat papua barat ingin merdeka kenapa ?  Mereka perlu di tangkap gituh ? Merek perlu di eksekusi ? kan engga goblok! Ya bae weh papua barat dek merdeka ge atuh asup negara Indo ge malah nambah penderitaan keur masyarakat na sorangan,twitter,0,1,1,0
"Allahuakbar, demi Allah demi Rasulullah dan para sahabat dan para tabiin. Harus ditegakkan khilafah yang akan menjamin kehidupan umat islam.",twitter,0,0,1,0
\m/RT @TeukuSyiva: Wkwkwk RT @adiprima: Anjeng kau babiRT @memetetek: @adiprima mau gue sepong ga kontol lo ngentot yuk gua lg horny neh :D,twitter,1,0,0,0
@AGFathur ahaha emang thue gek perang dingin makanya minyak naik. penguasa kafir cuman pengen kuasain minyak -_- ayo gawe bom dab,twitter,0,1,1,1
Semoga dengan penambahan infrastruktur yg dilakukan p @jokowi memunculkan atlet atlet berbakat dr Papua. Ingat 2019 pilih Jokowi ya biar Papua pembangunannya lebih dasyat lagi. Karena baru saman Jokowi Papua benar benar diperhatikan. Selamat buat Papua https://twitter.com/Angel_Papua/status/1034336621250801664 …,twitter,0,0,0,1
Kemarin2 ada yg minta Khilafah berdiri di Indonesia kan? Tuh pintunya dah dibukain ISIS dgn bom bunuh diri di Jakarta.,twitter,0,1,1,0
Ahhhh kontol sodok memek tika dengan ganas ahhhhhhhhhh uhffffff kontol satu lgi sodok anal tika ohhhhhhhhh saling lomba nyodoknya ahhhh,twitter,1,0,0,0
Tidak ada kata ampun dan maaf kalo rakyat sudah ngebuat pengadilan terbuka liwat gerakan revolusi ganyang PKI GAYA BARU berikut CINA PKI,twitter,0,1,1,1
"@RianaNanancha mhhh lepas ya rok mini kamu *buka rok masukin kontol ke memek basah kamu :* mmmhh genjot"" sampe kamu kesakitan mhhhh grrr ah",twitter,1,0,0,0
Jgn lupa sblm bom bunuh diri bawa viagra inex dan kondom  hanya orang bodo yg mau dibodohin.kafir=non muslim. jihad=bunuh masuk sorga..,twitter,0,1,1,1
ganyang CINA !!!! RT @chairizmeizz: Mnako kenan cina brengsek RT @dimboy666: Loha daeng brai RT @uhiiuhii: halo mas mas bro sekalian. RT,twitter,0,1,1,1
"nah..disinilah letak akar masalahnya..jangan terbawa judul ok..
anda mau tau ?
rahmatan lil alamin bisa terwujud dgn khilafah...
1.anda harus tau arti khilafah
2.anda mesti tau sejarah rosullullah Muhammad shallahu allaihi wasshalim
3.anda harus mengaji",twitter,0,0,1,0
"Lanjut ya.. Kata om x, kapitalisme yg kejam harus digantikan dgn sistem syariah islam,dn pemimpin negara adalah khilafah seperti sabda rasul",twitter,0,0,1,1
klo loe liat video perlakuan TNI ke rkyat asli papua loe bakal bilang mending pisah aja wirRT @Dodoeee: HELL NO!! RT http://mtw.tl/l6teh4d ,twitter,0,0,0,0
"Kalian teriak ""Ganyang cina!"" ""Usir Ahmadiyah"" ""Musnahkan LGBT""
.
Kalian ngusir orang dari rumahnya cmn karena mereka syiah. Kalian ngelarang orang bangun rumah ibadah
.
Lantas kenapa gue harus peduli saat tokoh lo dikriminalisasi dan ormas lo dibubarin?",twitter,0,1,0,0
"Stripper banged with a strapon by a hot female client

#brondongjkt #ngewe #bispakbandung #bokep #bugil #memek #MemekSempit #memekabg #fotomemek #toket #colmek #memekbecek #memekgatal #bokepabg #bokepindo #memekmerah #sange #abgmesum #abgtoge #bispakhttp://turk.aflam-king.com/12.html ",twitter,1,0,0,0
"Haha gila langsung gosong dah gue RT @mluthfijebew Amiiin :D""@violahariansyah: Iya dah ntar kapan2 ke papua sekalian RT @mluthfijebew",twitter,0,0,0,0
"Ganyang cina, gantung, bunuh dll, ngusir orang solat, ancem ga solatin mayat, ga terima mayat dll sejauh ini pendukung mana mas?
Yuk coba lagi! ",twitter,0,1,1,1
31. Pantas saja Amerika yg mayoritas KAFIR Kristen Menjatuhkan Bom Atom ke Jepang yg menghancurkan semua termasuk orang2 yg tidak berdosa!!!,twitter,0,1,1,1
aku:ku remas tetekmu ya van:remas aja aku:ah kau punya tetek? seriuslah van:iya br operasiRT @vantamelon: Lg la enak x c http://mtw.tl/lto40,twitter,1,0,0,0
"Kalo bisa secepatnya ya pak? Ayo kita jihad (y)""@Bunuh_QM: Yang masih jadi followernya si @QueenMutiaa bakal gua tandai dan gua anggap MUSU",twitter,0,0,1,1
@miss_nessaa @Astrid_via ak 69 dulu ya sama astrid beb...lg tiduran ak liat kontol ak lg di sepong sama bibir seksinya astrid...,twitter,1,0,0,0
"""Selama 20 tahun tinggal di Jakarta, baru 5 tahun terakhir benar-benar terasa perubahan dan sadar kalau itu akitbat gubernurnya.""",twitter,0,0,0,0
Presiden Joko Widodo harus turun langsung mengomandani para menteri di bidang ekonomi untuk mengatasi anjloknya nilai tukar rupiah terhadap dolar AS. https://www.tribunislam.com/2018/09/tak-bisa-meroketkan-rupiah-jokowi-sebaiknya-legowo-letakkan-jabatan-presiden.html …,twitter,0,0,0,0
"Dual sex organ humans in pornography and emo gay boy hardcore anal
 http://lezrikoner.info/r.php?fa&uc=k_a5nt&v=25835807 …
Pengen vidio gay indo ngentot handgagged twink fucked twinks musturbation gaysex suits porn xxxxxgay amateur teen gay anals that bleed pics free gay kis",twitter,1,0,0,0
Gw yakin suatu saat pasti Pak @basuki_btp akan ada patungnya sebagai tanda jasa entah itu di indo atau di madame tussaud.,twitter,0,0,0,0
"Itusih emang dasar goblok ! ""@FiersaBesari: Bbrp kali ditanya di chatbox:""Manado di Sumatera ya?"" ""Sorong di Jawa ya?"" ""Natuna di Papua ya?""",twitter,0,0,0,0
"Monyet bedes primitif RT @JeJheJai: lha iki monyet e @bertosaflessa RT Ravendoz_ Sudah diintimidasi kalah pula, cok aku sek pegel karo Papua",twitter,0,0,0,0
"Baju coklat, baju hijau lg tarung? Up to u!
Yg penting Ganyang NeoPKI, antek aseng & CINA GARONG BLBI-Century-RSSW-eKTP cs pengkhianat NKRI! pic.twitter.com/nCKHdiOmH4",twitter,0,1,1,1
"gerombolan yg mau ganti azas Pancasila dgn khilafah itu yg harus dibasmi ,  para penyebar kebencian hoax fitnah adudomba itu harus dienyahkan dari NKRI ..",twitter,0,0,1,0
".. Line : Tiarakhrisma
#openvcs #vcs #videocallsex #videobokep #cs #ps #phonesex #chatsex #sange #bokep #ngewe #bisyar #bispak #bokepindo #memekbasah #toge #ngentot #testivcs #testics #testips #testichatsexpic.twitter.com/ncwCYGatYb",twitter,1,0,0,0
Masa bodoh saha mau khilafah ..udah bosan kali orang orang bersatu .biar pada bikin negara masing masing..tuh Papua @PapuanV  minta pisah dari NKRI ..Aceh serambi mekah aja juga minta pisah dari NKRI..biarin biar pada blangsak jg para pejabat ikut gembel ,twitter,0,1,1,1
"bunuh had ayo JIHAD :D RT "" @mak_ondhong1923  @mak_ondhong1923: Nganti kecekel seng hack fb ku! Tak idak idak ndazeeee!!",twitter,0,0,0,0
"Menerangkan kpd simpatisan HTI itu harus pelan-pelan. Meskipun butuh waktu lama menyadarkannya.

#bahwa HTI itu adlh perjuangan menegakkn khilafah, syariah hanyalh kamuflase semata dr tujuan sebenarnya. Apa tujuan sbenarnya?

YAITU KEHANCURAN SUATU “NEGARA” YANG DISEBUT THOGHUT pic.twitter.com/qgT74pHWvp",twitter,0,0,1,0
